ROWID,Country,State lgd code,State,Yearcode,Year,Quantity of coal produced by non captive public mines,Value of coal produced by non captive public mines,Quantity of coal produced by non captive private mines,Value of coal produced by non captive private mines,Quantity of coal produced by captive public mines,Value of coal produced by captive public mines,Quantity of coal produced by captive private mines,Value of coal produced by captive private mines
1,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",0.013659224554742116,25.1719995365961852,,,,,,
2,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",0.00975658896767294,17.9521237005182096,,,0.00975658896767294,,,
3,India,9,Uttar Pradesh,2019,"Financial Year (Apr - Mar), 2019",18.03,25063.5,,,,,,
4,India,9,Uttar Pradesh,2020,"Financial Year (Apr - Mar), 2020",17.016,23955.4,,,17.016,,,
5,India,18,Assam,2019,"Financial Year (Apr - Mar), 2019",0.517,1736.2,,,,,,
6,India,18,Assam,2020,"Financial Year (Apr - Mar), 2020",0.036,117.1,,,0.036,,,
7,India,19,West Bengal,2019,"Financial Year (Apr - Mar), 2019",29.544,81774.5,,,2.112,1642.2,1.958,1653.2
8,India,19,West Bengal,2020,"Financial Year (Apr - Mar), 2020",26.192,71232.4,,,26.192,5304.2,2.079,2027
9,India,20,Jharkhand,2019,"Financial Year (Apr - Mar), 2019",116.077,252503.4,6.21,8580.55,9.421,10739.9,0.055,299.8
10,India,20,Jharkhand,2020,"Financial Year (Apr - Mar), 2020",106.327,233722.6,5.853,8904,112.18,8129.9,0.046,73.1
11,India,21,Odisha,2019,"Financial Year (Apr - Mar), 2019",140.358,143848.3,,,2.543,2673.7,0.115,102.3
12,India,21,Odisha,2020,"Financial Year (Apr - Mar), 2020",148.013,117853.4,,,148.013,4546.5,,
13,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",136.55,112314,,,19.121,21629.8,2.074,5290.1
14,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",137.461,112080.7,,,137.461,74518.2,0.433,687.1
15,India,23,Madhya Pradesh,2019,"Financial Year (Apr - Mar), 2019",104.044,173135,,,,,21.682,22010.4
16,India,23,Madhya Pradesh,2020,"Financial Year (Apr - Mar), 2020",110.989,175165.7,,,110.989,,21.542,25550
17,India,27,Maharashtra,2019,"Financial Year (Apr - Mar), 2019",54.19,92323.8,,,,,0.556,1622.6
18,India,27,Maharashtra,2020,"Financial Year (Apr - Mar), 2020",47.255,87816.3,,,47.255,,0.18,333.2
19,India,36,Telangana,2019,"Financial Year (Apr - Mar), 2019",64.044,149002.4,,,1.659,2072.2,0,0
20,India,36,Telangana,2020,"Financial Year (Apr - Mar), 2020",50.58,119869,,,50.58,4794.3,,
21,India,37,Ladakh,2019,"Financial Year (Apr - Mar), 2019",0.0003407754452578910,0.62800046340382770,,,,,,
22,India,37,Ladakh,2020,"Financial Year (Apr - Mar), 2020",0.000243411032327065,0.44787629948179960,,,0.000243411032327065,,,
